tr|A0A016TV92|A0A016TV92_9BILA	tr|A0A016TV92|A0A016TV92_9BILA G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Ancylostoma ceylanicum OX=53326 GN=Acey_s0077.g1138 PE=3 SV=1
tr|A0A075EGL3|A0A075EGL3_9TELE	tr|A0A075EGL3|A0A075EGL3_9TELE Brain super conserved receptor 2 (Fragment) OS=Moolgarda engeli OX=1111464 GN=sreb2 PE=4 SV=1
tr|A0A075Q6F3|A0A075Q6F3_CTEID	tr|A0A075Q6F3|A0A075Q6F3_CTEID Follicle-stimulating hormone receptor (Fragment) OS=Ctenopharyngodon idella OX=7959 GN=FSHR PE=4 SV=1
tr|A0A076VH42|A0A076VH42_AEDAE	tr|A0A076VH42|A0A076VH42_AEDAE Putative serotonin receptor OS=Aedes aegypti OX=7159 PE=2 SV=1
tr|A0A077K7C8|A0A077K7C8_CHICK	tr|A0A077K7C8|A0A077K7C8_CHICK Dopamine receptor D4 OS=Gallus gallus OX=9031 GN=DRD4 PE=3 SV=1
tr|A0A077K864|A0A077K864_PHAVE	tr|A0A077K864|A0A077K864_PHAVE Dopamine receptor D4 OS=Phasianus versicolor OX=9055 GN=DRD4 PE=3 SV=1
tr|A0A077K915|A0A077K915_CHICK	tr|A0A077K915|A0A077K915_CHICK Dopamine receptor D4 OS=Gallus gallus OX=9031 GN=DRD4 PE=3 SV=1
tr|A0A077K926|A0A077K926_CHICK	tr|A0A077K926|A0A077K926_CHICK Dopamine receptor D4 OS=Gallus gallus OX=9031 GN=DRD4 PE=3 SV=1
tr|A0A077K971|A0A077K971_CHICK	tr|A0A077K971|A0A077K971_CHICK Dopamine receptor D2 OS=Gallus gallus OX=9031 GN=DRD2 PE=4 SV=1
tr|A0A077YWC6|A0A077YWC6_TRITR	tr|A0A077YWC6|A0A077YWC6_TRITR Melatonin receptor type 1a OS=Trichuris trichiura OX=36087 GN=TTRE_0000036501 PE=4 SV=1
tr|A0A078BPE9|A0A078BPE9_ANGAN	tr|A0A078BPE9|A0A078BPE9_ANGAN Thyrotropin receptor (Fragment) OS=Anguilla anguilla OX=7936 GN=tshrb PE=2 SV=1
tr|A0A084VLI7|A0A084VLI7_ANOSI	tr|A0A084VLI7|A0A084VLI7_ANOSI AGAP000606-PA-like protein OS=Anopheles sinensis OX=74873 GN=ZHAS_00006317 PE=4 SV=1
tr|A0A084W8Y9|A0A084W8Y9_ANOSI	tr|A0A084W8Y9|A0A084W8Y9_ANOSI Pyrokinin-like receptor 2 OS=Anopheles sinensis OX=74873 GN=ZHAS_00014748 PE=3 SV=1
tr|A0A084WBB3|A0A084WBB3_ANOSI	tr|A0A084WBB3|A0A084WBB3_ANOSI G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles sinensis OX=74873 GN=ZHAS_00015462 PE=4 SV=1
tr|A0A084WPZ1|A0A084WPZ1_ANOSI	tr|A0A084WPZ1|A0A084WPZ1_ANOSI AGAP001022-PB-like protein OS=Anopheles sinensis OX=74873 GN=ZHAS_00020404 PE=4 SV=1
tr|A0A085LR19|A0A085LR19_9BILA	tr|A0A085LR19|A0A085LR19_9BILA G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Trichuris suis OX=68888 GN=M513_11726 PE=4 SV=1
tr|A0A087QGV6|A0A087QGV6_APTFO	tr|A0A087QGV6|A0A087QGV6_APTFO Olfactory receptor (Fragment) OS=Aptenodytes forsteri OX=9233 GN=AS27_05074 PE=3 SV=1
tr|A0A087QGV7|A0A087QGV7_APTFO	tr|A0A087QGV7|A0A087QGV7_APTFO Olfactory receptor (Fragment) OS=Aptenodytes forsteri OX=9233 GN=AS27_05075 PE=3 SV=1
tr|A0A087QGV8|A0A087QGV8_APTFO	tr|A0A087QGV8|A0A087QGV8_APTFO Olfactory receptor (Fragment) OS=Aptenodytes forsteri OX=9233 GN=AS27_05078 PE=3 SV=1
tr|A0A087QIP6|A0A087QIP6_APTFO	tr|A0A087QIP6|A0A087QIP6_APTFO G-protein coupled receptor 39 (Fragment) OS=Aptenodytes forsteri OX=9233 GN=AS27_00554 PE=3 SV=1
tr|A0A087QQT3|A0A087QQT3_APTFO	tr|A0A087QQT3|A0A087QQT3_APTFO G-protein coupled receptor 12 (Fragment) OS=Aptenodytes forsteri OX=9233 GN=AS27_04400 PE=3 SV=1
tr|A0A087QS11|A0A087QS11_APTFO	tr|A0A087QS11|A0A087QS11_APTFO Melanocortin receptor 3 (Fragment) OS=Aptenodytes forsteri OX=9233 GN=AS27_03220 PE=3 SV=1
tr|A0A087R041|A0A087R041_APTFO	tr|A0A087R041|A0A087R041_APTFO Lysophosphatidic acid receptor 1 (Fragment) OS=Aptenodytes forsteri OX=9233 GN=AS27_13526 PE=3 SV=1
tr|A0A087R402|A0A087R402_APTFO	tr|A0A087R402|A0A087R402_APTFO Endothelin-1 receptor OS=Aptenodytes forsteri OX=9233 GN=AS27_05752 PE=3 SV=1
tr|A0A087R851|A0A087R851_APTFO	tr|A0A087R851|A0A087R851_APTFO Lysophosphatidic acid receptor 2 (Fragment) OS=Aptenodytes forsteri OX=9233 GN=AS27_09975 PE=3 SV=1
tr|A0A087RB94|A0A087RB94_APTFO	tr|A0A087RB94|A0A087RB94_APTFO Proteinase-activated receptor 4 (Fragment) OS=Aptenodytes forsteri OX=9233 GN=AS27_10895 PE=3 SV=1
tr|A0A087RFK0|A0A087RFK0_APTFO	tr|A0A087RFK0|A0A087RFK0_APTFO p2Y purinoceptor 1 (Fragment) OS=Aptenodytes forsteri OX=9233 GN=AS27_00333 PE=4 SV=1
tr|A0A087RGC9|A0A087RGC9_APTFO	tr|A0A087RGC9|A0A087RGC9_APTFO Platelet-activating factor receptor (Fragment) OS=Aptenodytes forsteri OX=9233 GN=AS27_10084 PE=3 SV=1
tr|A0A087SZP0|A0A087SZP0_STEMI	tr|A0A087SZP0|A0A087SZP0_STEMI Substance-K receptor (Fragment) OS=Stegodyphus mimosarum OX=407821 GN=X975_17707 PE=4 SV=1
tr|A0A087T531|A0A087T531_STEMI	tr|A0A087T531|A0A087T531_STEMI Tachykinin-like peptides receptor 86C (Fragment) OS=Stegodyphus mimosarum OX=407821 GN=X975_18698 PE=4 SV=1
tr|A0A087THF0|A0A087THF0_STEMI	tr|A0A087THF0|A0A087THF0_STEMI Oxytocin receptor (Fragment) OS=Stegodyphus mimosarum OX=407821 GN=X975_10116 PE=3 SV=1
tr|A0A087TQJ1|A0A087TQJ1_STEMI	tr|A0A087TQJ1|A0A087TQJ1_STEMI FMRFamide receptor (Fragment) OS=Stegodyphus mimosarum OX=407821 GN=X975_03111 PE=4 SV=1
tr|A0A087UIH2|A0A087UIH2_STEMI	tr|A0A087UIH2|A0A087UIH2_STEMI Thyrotropin receptor (Fragment) OS=Stegodyphus mimosarum OX=407821 GN=X975_10589 PE=4 SV=1
tr|A0A087UP46|A0A087UP46_STEMI	tr|A0A087UP46|A0A087UP46_STEMI 5-hydroxytryptamine receptor 1 (Fragment) OS=Stegodyphus mimosarum OX=407821 GN=X975_00322 PE=3 SV=1
tr|A0A087V3Z1|A0A087V3Z1_BALRE	tr|A0A087V3Z1|A0A087V3Z1_BALRE Pyroglutamylated RFamide peptide receptor (Fragment) OS=Balearica regulorum gibbericeps OX=100784 GN=N312_12221 PE=3 SV=1
tr|A0A087VB08|A0A087VB08_BALRE	tr|A0A087VB08|A0A087VB08_BALRE Melanin-concentrating hormone receptor 2 (Fragment) OS=Balearica regulorum gibbericeps OX=100784 GN=N312_02925 PE=4 SV=1
tr|A0A087VBD8|A0A087VBD8_BALRE	tr|A0A087VBD8|A0A087VBD8_BALRE Neuropeptide S receptor (Fragment) OS=Balearica regulorum gibbericeps OX=100784 GN=N312_06501 PE=3 SV=1
tr|A0A087VBL3|A0A087VBL3_BALRE	tr|A0A087VBL3|A0A087VBL3_BALRE Olfactory receptor (Fragment) OS=Balearica regulorum gibbericeps OX=100784 GN=N312_02960 PE=3 SV=1
tr|A0A087VE00|A0A087VE00_BALRE	tr|A0A087VE00|A0A087VE00_BALRE Olfactory receptor 10K2 (Fragment) OS=Balearica regulorum gibbericeps OX=100784 GN=N312_10500 PE=3 SV=1
tr|A0A087VF59|A0A087VF59_BALRE	tr|A0A087VF59|A0A087VF59_BALRE Endothelin-1 receptor OS=Balearica regulorum gibbericeps OX=100784 GN=N312_11660 PE=3 SV=1
tr|A0A087VHX0|A0A087VHX0_BALRE	tr|A0A087VHX0|A0A087VHX0_BALRE Lysophosphatidic acid receptor 2 (Fragment) OS=Balearica regulorum gibbericeps OX=100784 GN=N312_05006 PE=3 SV=1
tr|A0A087VKE3|A0A087VKE3_BALRE	tr|A0A087VKE3|A0A087VKE3_BALRE G-protein coupled receptor 183 (Fragment) OS=Balearica regulorum gibbericeps OX=100784 GN=N312_02836 PE=3 SV=1
tr|A0A087VP58|A0A087VP58_BALRE	tr|A0A087VP58|A0A087VP58_BALRE Olfactory receptor (Fragment) OS=Balearica regulorum gibbericeps OX=100784 GN=N312_13014 PE=3 SV=1
tr|A0A087VP60|A0A087VP60_BALRE	tr|A0A087VP60|A0A087VP60_BALRE Olfactory receptor (Fragment) OS=Balearica regulorum gibbericeps OX=100784 GN=N312_13016 PE=3 SV=1
tr|A0A087VR13|A0A087VR13_BALRE	tr|A0A087VR13|A0A087VR13_BALRE 5-hydroxytryptamine receptor 7 (Fragment) OS=Balearica regulorum gibbericeps OX=100784 GN=N312_12517 PE=4 SV=1
tr|A0A087WSD2|A0A087WSD2_MOUSE	tr|A0A087WSD2|A0A087WSD2_MOUSE Membrane-spanning 4-domains, subfamily A, member 14 OS=Mus musculus OX=10090 GN=Ms4a14 PE=4 SV=1
tr|A0A087WXR8|A0A087WXR8_HUMAN	tr|A0A087WXR8|A0A087WXR8_HUMAN Sphingosine 1-phosphate receptor 5 OS=Homo sapiens OX=9606 GN=S1PR5 PE=1 SV=1
tr|A0A087WY02|A0A087WY02_HUMAN	tr|A0A087WY02|A0A087WY02_HUMAN Olfactory receptor OS=Homo sapiens OX=9606 GN=OR10C1 PE=3 SV=1
tr|A0A087X542|A0A087X542_POEFO	tr|A0A087X542|A0A087X542_POEFO G protein-coupled receptor 151 OS=Poecilia formosa OX=48698 GN=GPR151 PE=4 SV=2
tr|A0A087X5A7|A0A087X5A7_POEFO	tr|A0A087X5A7|A0A087X5A7_POEFO G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Poecilia formosa OX=48698 PE=4 SV=1
tr|A0A087X755|A0A087X755_POEFO	tr|A0A087X755|A0A087X755_POEFO G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Poecilia formosa OX=48698 PE=3 SV=1
tr|A0A087X9W8|A0A087X9W8_POEFO	tr|A0A087X9W8|A0A087X9W8_POEFO G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Poecilia formosa OX=48698 PE=3 SV=2
tr|A0A087XAS7|A0A087XAS7_POEFO	tr|A0A087XAS7|A0A087XAS7_POEFO G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Poecilia formosa OX=48698 PE=3 SV=2
tr|A0A087XAT9|A0A087XAT9_POEFO	tr|A0A087XAT9|A0A087XAT9_POEFO G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Poecilia formosa OX=48698 PE=4 SV=2
tr|A0A087XDX1|A0A087XDX1_POEFO	tr|A0A087XDX1|A0A087XDX1_POEFO G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Poecilia formosa OX=48698 PE=4 SV=1
tr|A0A087XGT3|A0A087XGT3_POEFO	tr|A0A087XGT3|A0A087XGT3_POEFO G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Poecilia formosa OX=48698 PE=4 SV=2
tr|A0A087XH01|A0A087XH01_POEFO	tr|A0A087XH01|A0A087XH01_POEFO G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Poecilia formosa OX=48698 PE=3 SV=2
tr|A0A087XT96|A0A087XT96_POEFO	tr|A0A087XT96|A0A087XT96_POEFO G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Poecilia formosa OX=48698 GN=F2RL2 PE=4 SV=1
tr|A0A087XTE2|A0A087XTE2_POEFO	tr|A0A087XTE2|A0A087XTE2_POEFO G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Poecilia formosa OX=48698 PE=3 SV=2
tr|A0A087XUX2|A0A087XUX2_POEFO	tr|A0A087XUX2|A0A087XUX2_POEFO Melanocortin 2 receptor OS=Poecilia formosa OX=48698 PE=3 SV=2
tr|A0A087XWE1|A0A087XWE1_POEFO	tr|A0A087XWE1|A0A087XWE1_POEFO G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Poecilia formosa OX=48698 PE=3 SV=2
tr|A0A087XXW4|A0A087XXW4_POEFO	tr|A0A087XXW4|A0A087XXW4_POEFO G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Poecilia formosa OX=48698 PE=3 SV=2
tr|A0A087Y432|A0A087Y432_POEFO	tr|A0A087Y432|A0A087Y432_POEFO G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Poecilia formosa OX=48698 PE=4 SV=1
tr|A0A087Y465|A0A087Y465_POEFO	tr|A0A087Y465|A0A087Y465_POEFO G protein-coupled receptor 119 OS=Poecilia formosa OX=48698 GN=GPR119 PE=3 SV=2
tr|A0A087Y663|A0A087Y663_POEFO	tr|A0A087Y663|A0A087Y663_POEFO G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Poecilia formosa OX=48698 PE=3 SV=2
tr|A0A087YDT1|A0A087YDT1_POEFO	tr|A0A087YDT1|A0A087YDT1_POEFO G protein-coupled receptor 37b OS=Poecilia formosa OX=48698 PE=4 SV=2
tr|A0A087YJR5|A0A087YJR5_POEFO	tr|A0A087YJR5|A0A087YJR5_POEFO Endothelin receptor type Ab OS=Poecilia formosa OX=48698 PE=3 SV=2
tr|A0A087YPU0|A0A087YPU0_POEFO	tr|A0A087YPU0|A0A087YPU0_POEFO Relaxin family peptide receptor 3 OS=Poecilia formosa OX=48698 PE=4 SV=2
tr|A0A087YQ47|A0A087YQ47_POEFO	tr|A0A087YQ47|A0A087YQ47_POEFO Olfactory receptor OS=Poecilia formosa OX=48698 PE=3 SV=2
tr|A0A087YQG4|A0A087YQG4_POEFO	tr|A0A087YQG4|A0A087YQG4_POEFO G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Poecilia formosa OX=48698 PE=3 SV=1
tr|A0A087YQL6|A0A087YQL6_POEFO	tr|A0A087YQL6|A0A087YQL6_POEFO G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Poecilia formosa OX=48698 PE=3 SV=2
tr|A0A087YR26|A0A087YR26_POEFO	tr|A0A087YR26|A0A087YR26_POEFO G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Poecilia formosa OX=48698 PE=3 SV=2
tr|A0A087YR54|A0A087YR54_POEFO	tr|A0A087YR54|A0A087YR54_POEFO G protein-coupled bile acid receptor 1 OS=Poecilia formosa OX=48698 PE=4 SV=2
tr|A0A087YR76|A0A087YR76_POEFO	tr|A0A087YR76|A0A087YR76_POEFO G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Poecilia formosa OX=48698 PE=3 SV=2
tr|A0A087YRB6|A0A087YRB6_POEFO	tr|A0A087YRB6|A0A087YRB6_POEFO Chemokine (C-C motif) receptor 10 OS=Poecilia formosa OX=48698 PE=3 SV=2
tr|A0A087YSD5|A0A087YSD5_POEFO	tr|A0A087YSD5|A0A087YSD5_POEFO Olfactory receptor OS=Poecilia formosa OX=48698 PE=3 SV=1
tr|A0A087YSD6|A0A087YSD6_POEFO	tr|A0A087YSD6|A0A087YSD6_POEFO Olfactory receptor OS=Poecilia formosa OX=48698 PE=3 SV=1
tr|A0A087YSR1|A0A087YSR1_POEFO	tr|A0A087YSR1|A0A087YSR1_POEFO Si:dkey-211g8.6 OS=Poecilia formosa OX=48698 PE=4 SV=2
tr|A0A088AGH5|A0A088AGH5_APIME	tr|A0A088AGH5|A0A088AGH5_APIME G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Apis mellifera OX=7460 PE=4 SV=1
tr|A0A088AV75|A0A088AV75_APIME	tr|A0A088AV75|A0A088AV75_APIME Uncharacterized protein OS=Apis mellifera OX=7460 PE=4 SV=1
tr|A0A088DIX9|A0A088DIX9_PETMA	tr|A0A088DIX9|A0A088DIX9_PETMA Vasotocin V1 hormone receptor 2 OS=Petromyzon marinus OX=7757 PE=2 SV=1
tr|A0A089FZ10|A0A089FZ10_CANLU	tr|A0A089FZ10|A0A089FZ10_CANLU Melanocyte-stimulating hormone receptor OS=Canis lupus OX=9612 GN=MC1R PE=3 SV=1
tr|A0A089N443|A0A089N443_9TELE	tr|A0A089N443|A0A089N443_9TELE G-protein coupled receptor 85 (Fragment) OS=Nothobranchius cardinalis OX=451735 GN=Gpr85 PE=4 SV=1
tr|A0A089N468|A0A089N468_9TELE	tr|A0A089N468|A0A089N468_9TELE G-protein coupled receptor 85 (Fragment) OS=Nothobranchius lucius OX=508069 GN=Gpr85 PE=4 SV=1
tr|A0A089N489|A0A089N489_9TELE	tr|A0A089N489|A0A089N489_9TELE G-protein coupled receptor 85 (Fragment) OS=Nothobranchius ruudwildekampi OX=1548448 GN=Gpr85 PE=4 SV=1
tr|A0A089N497|A0A089N497_9TELE	tr|A0A089N497|A0A089N497_9TELE G-protein coupled receptor 85 (Fragment) OS=Nothobranchius sp. CI 2007 OX=1548683 GN=Gpr85 PE=4 SV=1
tr|A0A089N5N1|A0A089N5N1_9TELE	tr|A0A089N5N1|A0A089N5N1_9TELE G-protein coupled receptor 85 (Fragment) OS=Nothobranchius fuscotaeniatus OX=1548440 GN=Gpr85 PE=4 SV=1
tr|A0A089N5P4|A0A089N5P4_9TELE	tr|A0A089N5P4|A0A089N5P4_9TELE G-protein coupled receptor 85 (Fragment) OS=Nothobranchius korthausae OX=1143690 GN=Gpr85 PE=4 SV=1
tr|A0A089N5Q1|A0A089N5Q1_9TELE	tr|A0A089N5Q1|A0A089N5Q1_9TELE G-protein coupled receptor 85 (Fragment) OS=Nothobranchius lucius OX=508069 GN=Gpr85 PE=4 SV=1
tr|A0A089N5R4|A0A089N5R4_9TELE	tr|A0A089N5R4|A0A089N5R4_9TELE G-protein coupled receptor 85 (Fragment) OS=Nothobranchius rachovii OX=451742 GN=Gpr85 PE=4 SV=1
tr|A0A089N5S7|A0A089N5S7_9TELE	tr|A0A089N5S7|A0A089N5S7_9TELE G-protein coupled receptor 85 (Fragment) OS=Nothobranchius taeniopygus OX=1548451 GN=Gpr85 PE=4 SV=1
tr|A0A089N823|A0A089N823_9TELE	tr|A0A089N823|A0A089N823_9TELE G-protein coupled receptor 85 (Fragment) OS=Nothobranchius boklundi OX=1548438 GN=Gpr85 PE=4 SV=1
tr|A0A089N847|A0A089N847_9TELE	tr|A0A089N847|A0A089N847_9TELE G-protein coupled receptor 85 (Fragment) OS=Nothobranchius kirki OX=52583 GN=Gpr85 PE=4 SV=1
tr|A0A089N853|A0A089N853_9TELE	tr|A0A089N853|A0A089N853_9TELE G-protein coupled receptor 85 (Fragment) OS=Nothobranchius lucius OX=508069 GN=Gpr85 PE=4 SV=1
tr|A0A089N861|A0A089N861_9TELE	tr|A0A089N861|A0A089N861_9TELE G-protein coupled receptor 85 (Fragment) OS=Nothobranchius aff. makondorum MZHL 2005-12 OX=1548681 GN=Gpr85 PE=4 SV=1
tr|A0A089N870|A0A089N870_9TELE	tr|A0A089N870|A0A089N870_9TELE G-protein coupled receptor 85 (Fragment) OS=Nothobranchius palmqvisti OX=1548445 GN=Gpr85 PE=4 SV=1
tr|A0A089N878|A0A089N878_9TELE	tr|A0A089N878|A0A089N878_9TELE G-protein coupled receptor 85 (Fragment) OS=Nothobranchius rubroreticulatus OX=704104 GN=Gpr85 PE=4 SV=1
tr|A0A089N9R8|A0A089N9R8_9TELE	tr|A0A089N9R8|A0A089N9R8_9TELE G-protein coupled receptor 85 (Fragment) OS=Nothobranchius thierryi OX=60304 GN=Gpr85 PE=4 SV=1
tr|A0A089N9S5|A0A089N9S5_9TELE	tr|A0A089N9S5|A0A089N9S5_9TELE G-protein coupled receptor 85 (Fragment) OS=Nothobranchius aff. fasciatus KEN 08-9 OX=1548679 GN=Gpr85 PE=4 SV=1
tr|A0A089N9T0|A0A089N9T0_9TELE	tr|A0A089N9T0|A0A089N9T0_9TELE G-protein coupled receptor 85 (Fragment) OS=Nothobranchius guentheri OX=451738 GN=Gpr85 PE=4 SV=1
tr|A0A089N9T9|A0A089N9T9_9TELE	tr|A0A089N9T9|A0A089N9T9_9TELE G-protein coupled receptor 85 (Fragment) OS=Nothobranchius krammeri OX=451746 GN=Gpr85 PE=4 SV=1
tr|A0A089N9U3|A0A089N9U3_9TELE	tr|A0A089N9U3|A0A089N9U3_9TELE G-protein coupled receptor 85 (Fragment) OS=Nothobranchius makondorum OX=508070 GN=Gpr85 PE=4 SV=1
tr|A0A089N9V9|A0A089N9V9_9TELE	tr|A0A089N9V9|A0A089N9V9_9TELE G-protein coupled receptor 85 (Fragment) OS=Nothobranchius aff. janpapi JAP_AG205 OX=1548680 GN=Gpr85 PE=4 SV=1
tr|A0A089N9W5|A0A089N9W5_9TELE	tr|A0A089N9W5|A0A089N9W5_9TELE G-protein coupled receptor 85 (Fragment) OS=Nothobranchius virgatus OX=1548453 GN=Gpr85 PE=4 SV=1
tr|A0A089PIK1|A0A089PIK1_9TELE	tr|A0A089PIK1|A0A089PIK1_9TELE G-protein coupled receptor 85 (Fragment) OS=Nothobranchius guentheri OX=451738 GN=Gpr85 PE=4 SV=1
tr|A0A089PIK7|A0A089PIK7_9TELE	tr|A0A089PIK7|A0A089PIK7_9TELE G-protein coupled receptor 85 (Fragment) OS=Nothobranchius kilomberoensis OX=451740 GN=Gpr85 PE=4 SV=1
tr|A0A089PIL2|A0A089PIL2_NOTKU	tr|A0A089PIL2|A0A089PIL2_NOTKU G-protein coupled receptor 85 (Fragment) OS=Nothobranchius kuhntae OX=321403 GN=Gpr85 PE=4 SV=1
tr|A0A089PIM5|A0A089PIM5_9TELE	tr|A0A089PIM5|A0A089PIM5_9TELE G-protein coupled receptor 85 (Fragment) OS=Nothobranchius orthonotus OX=451741 GN=Gpr85 PE=4 SV=1
tr|A0A089PIN2|A0A089PIN2_9TELE	tr|A0A089PIN2|A0A089PIN2_9TELE G-protein coupled receptor 85 (Fragment) OS=Nothobranchius aff. rubroreticulatus RUB_AG128 OX=1548682 GN=Gpr85 PE=4 SV=1
tr|A0A090KY32|A0A090KY32_STRRB	tr|A0A090KY32|A0A090KY32_STRRB G protein-coupled receptor, rhodopsin-like family and GPCR, rhodopsin-like, 7TM domain-containing protein OS=Strongyloides ratti OX=34506 GN=SRAE_1000060400 PE=4 SV=1
tr|A0A090L406|A0A090L406_STRRB	tr|A0A090L406|A0A090L406_STRRB G protein-coupled receptor, rhodopsin-like family and GPCR, rhodopsin-like, 7TM domain-containing protein OS=Strongyloides ratti OX=34506 GN=SRAE_1000110500 PE=4 SV=1
tr|A0A090XEE6|A0A090XEE6_IXORI	tr|A0A090XEE6|A0A090XEE6_IXORI Putative relaxin receptor 2-like protein (Fragment) OS=Ixodes ricinus OX=34613 PE=2 SV=1
tr|A0A091CIU8|A0A091CIU8_FUKDA	tr|A0A091CIU8|A0A091CIU8_FUKDA Olfactory receptor OS=Fukomys damarensis OX=885580 GN=H920_20205 PE=3 SV=1
tr|A0A091CLR5|A0A091CLR5_FUKDA	tr|A0A091CLR5|A0A091CLR5_FUKDA Olfactory receptor OS=Fukomys damarensis OX=885580 GN=H920_19837 PE=3 SV=1
tr|A0A091CLS9|A0A091CLS9_FUKDA	tr|A0A091CLS9|A0A091CLS9_FUKDA Olfactory receptor OS=Fukomys damarensis OX=885580 GN=H920_19857 PE=3 SV=1
tr|A0A091CM09|A0A091CM09_FUKDA	tr|A0A091CM09|A0A091CM09_FUKDA Olfactory receptor OS=Fukomys damarensis OX=885580 GN=H920_18671 PE=3 SV=1
tr|A0A091CM15|A0A091CM15_FUKDA	tr|A0A091CM15|A0A091CM15_FUKDA Olfactory receptor OS=Fukomys damarensis OX=885580 GN=H920_18681 PE=3 SV=1
tr|A0A091CMC8|A0A091CMC8_FUKDA	tr|A0A091CMC8|A0A091CMC8_FUKDA Olfactory receptor OS=Fukomys damarensis OX=885580 GN=H920_19515 PE=3 SV=1
tr|A0A091CMV0|A0A091CMV0_FUKDA	tr|A0A091CMV0|A0A091CMV0_FUKDA Olfactory receptor OS=Fukomys damarensis OX=885580 GN=H920_20211 PE=3 SV=1
tr|A0A091CNG0|A0A091CNG0_FUKDA	tr|A0A091CNG0|A0A091CNG0_FUKDA Olfactory receptor OS=Fukomys damarensis OX=885580 GN=H920_19516 PE=3 SV=1
tr|A0A091CNR8|A0A091CNR8_FUKDA	tr|A0A091CNR8|A0A091CNR8_FUKDA Olfactory receptor OS=Fukomys damarensis OX=885580 GN=H920_19840 PE=3 SV=1
tr|A0A091CNS1|A0A091CNS1_FUKDA	tr|A0A091CNS1|A0A091CNS1_FUKDA Olfactory receptor OS=Fukomys damarensis OX=885580 GN=H920_19845 PE=3 SV=1
tr|A0A091CR65|A0A091CR65_FUKDA	tr|A0A091CR65|A0A091CR65_FUKDA Olfactory receptor OS=Fukomys damarensis OX=885580 GN=H920_18682 PE=3 SV=1
tr|A0A091CRJ4|A0A091CRJ4_FUKDA	tr|A0A091CRJ4|A0A091CRJ4_FUKDA Olfactory receptor OS=Fukomys damarensis OX=885580 GN=H920_17785 PE=3 SV=1
tr|A0A091CSE4|A0A091CSE4_FUKDA	tr|A0A091CSE4|A0A091CSE4_FUKDA Olfactory receptor OS=Fukomys damarensis OX=885580 GN=H920_16349 PE=3 SV=1
tr|A0A091CSH8|A0A091CSH8_FUKDA	tr|A0A091CSH8|A0A091CSH8_FUKDA Olfactory receptor OS=Fukomys damarensis OX=885580 GN=H920_17781 PE=3 SV=1
tr|A0A091CSM0|A0A091CSM0_FUKDA	tr|A0A091CSM0|A0A091CSM0_FUKDA Olfactory receptor OS=Fukomys damarensis OX=885580 GN=H920_17355 PE=3 SV=1
tr|A0A091CTK0|A0A091CTK0_FUKDA	tr|A0A091CTK0|A0A091CTK0_FUKDA Olfactory receptor OS=Fukomys damarensis OX=885580 GN=H920_16839 PE=3 SV=1
tr|A0A091CUU2|A0A091CUU2_FUKDA	tr|A0A091CUU2|A0A091CUU2_FUKDA Olfactory receptor OS=Fukomys damarensis OX=885580 GN=H920_16362 PE=3 SV=1
tr|A0A091CVJ3|A0A091CVJ3_FUKDA	tr|A0A091CVJ3|A0A091CVJ3_FUKDA Olfactory receptor OS=Fukomys damarensis OX=885580 GN=H920_16837 PE=3 SV=1
tr|A0A091CVU6|A0A091CVU6_FUKDA	tr|A0A091CVU6|A0A091CVU6_FUKDA Olfactory receptor OS=Fukomys damarensis OX=885580 GN=H920_16348 PE=3 SV=1
tr|A0A091CVV5|A0A091CVV5_FUKDA	tr|A0A091CVV5|A0A091CVV5_FUKDA Olfactory receptor OS=Fukomys damarensis OX=885580 GN=H920_16363 PE=3 SV=1
tr|A0A091CVW0|A0A091CVW0_FUKDA	tr|A0A091CVW0|A0A091CVW0_FUKDA Olfactory receptor OS=Fukomys damarensis OX=885580 GN=H920_15893 PE=3 SV=1
tr|A0A091CWC9|A0A091CWC9_FUKDA	tr|A0A091CWC9|A0A091CWC9_FUKDA p2Y purinoceptor 2 OS=Fukomys damarensis OX=885580 GN=H920_14613 PE=3 SV=1
tr|A0A091CWP9|A0A091CWP9_FUKDA	tr|A0A091CWP9|A0A091CWP9_FUKDA Olfactory receptor OS=Fukomys damarensis OX=885580 GN=H920_16345 PE=3 SV=1
